Pd2,Qd2,Pd3,Qd3,Pd4,Qd4,PdT,QdT
793.5307984,427.5744849,666.76,351.277368,848.2144465,471.7411014,2308.505245,1250.592954
773.4481953,416.7534699,648.72,341.773133,825.2649765,458.9775741,2247.433172,1217.504177
769.7522839,414.7620193,645.4,340.0240166,821.0414599,456.6286323,2236.193744,1211.414668
768.5054704,414.0902046,644.28,339.4339532,819.6166591,455.8362182,2232.402129,1209.360376
773.9380149,417.0173971,649.16,342.0049436,825.8247197,459.2888797,2248.922735,1218.31122
784.6695168,422.799802,658.8,347.0837033,838.0881837,466.1093011,2281.5577,1235.992806
805.3755266,433.9567244,677.4,356.88297,861.7500541,479.2690355,2344.525581,1270.10873
832.6718364,448.6646671,701.92,369.801143,892.9430144,496.6172445,2427.534851,1315.083055
849.5483476,457.7581587,717.08,377.7880722,912.2287109,507.3431355,2478.857059,1342.889366
845.5407328,455.5987544,713.48,375.8914399,907.6489941,504.7960901,2466.669727,1336.286284
828.4415763,446.3852959,698.12,367.7991423,888.1088689,493.9286966,2414.670445,1308.113135
803.4162483,432.9010156,675.64,355.9557275,859.5110814,478.0238133,2338.56733,1266.880556
762.2714029,410.7311312,638.68,336.4836364,812.4926551,451.8741476,2213.444058,1199.088915
723.130365,389.640949,603.52,317.9598613,767.7640872,426.9980046,2094.414452,1134.598815
699.797141,377.0684171,582.56,306.9172468,741.0999579,412.1685405,2023.457099,1096.154204
692.2272019,372.9895423,575.76,303.3347192,732.4493817,407.3574548,2000.436584,1083.681716
707.8568996,381.4112191,589.8,310.731585,750.3102774,417.2909317,2047.967177,1109.433736
757.328678,408.0678658,634.24,334.1444566,806.8443376,448.7327917,2198.413016,1190.945114
786.0944465,423.5675902,660.08,347.7580614,839.7165275,467.0149173,2285.890974,1238.340569
793.9315599,427.7904253,667.12,351.4670312,848.6724182,471.995806,2309.723978,1251.253263
801.2343246,431.7253399,673.68,354.9231166,857.01768,476.6370886,2331.932005,1263.285545
791.3934038,426.4228026,664.84,350.2658308,845.7719309,470.3826772,2302.005335,1247.071311
771.1772136,415.5298075,646.68,340.6983747,822.6698036,457.5342484,2240.527017,1213.762431
749.3134484,403.7490572,627.04,330.351192,797.6849039,443.6387009,2174.038352,1177.73895
747.9330477,403.0052624,625.8,329.6979076,796.1074459,442.7613853,2169.840494,1175.464555
731.0120074,393.8877775,610.6,321.6899047,776.7708636,432.0071938,2118.382871,1147.584876
725.3568176,390.840618,605.52,319.0135459,770.3083743,428.4130298,2101.185192,1138.267194
722.2397839,389.1610813,602.72,317.5383875,766.7463723,426.4319945,2091.706156,1133.131463
724.6443528,390.4567239,604.88,318.6763668,769.4942024,427.9602217,2099.018555,1137.093312
738.8491208,398.1106126,617.64,325.3988745,785.7267544,436.9880825,2142.215875,1160.49757
762.2714029,410.7311312,638.68,336.4836364,812.4926551,451.8741476,2213.444058,1199.088915
791.7051072,426.5907563,665.12,350.4133466,846.1281311,470.5807808,2302.953238,1247.584884
813.7024596,438.4434867,684.88,360.8237503,871.265688,484.5612298,2369.848148,1283.828467
835.9224573,450.416184,704.84,371.3395225,896.6576736,498.6831813,2437.420131,1320.438888
830.5789708,447.5369782,700.04,368.8106795,890.5513845,495.2871208,2421.170355,1311.634778
813.7024596,438.4434867,684.88,360.8237503,871.265688,484.5612298,2369.848148,1283.828467
790.4582937,425.9189416,664,349.8232832,844.7033303,469.7883667,2299.161624,1245.530591
772.9138467,416.4655493,648.24,341.5202487,824.6543476,458.6379681,2245.808194,1216.623766
756.7943293,407.7799453,633.76,333.8915723,806.2337087,448.3931856,2196.788038,1190.064703
753.142947,405.812488,630.48,332.1635295,802.0610778,446.0725443,2185.684025,1184.048562
767.8375346,413.7303039,643.68,339.1178478,818.8533729,455.4117106,2230.370908,1208.259862
810.4073096,436.6679764,681.92,359.2642971,867.500143,482.4669925,2359.827453,1278.399266
828.5751634,446.457276,698.24,367.8623634,888.2615261,494.0135981,2415.07669,1308.333238
826.3932398,445.2816004,696.28,366.8297525,885.7681247,492.6268734,2408.441365,1304.738226
829.3766864,446.8891569,698.96,368.2416898,889.1774694,494.5230072,2417.514156,1309.653854
842.6463443,454.0391846,710.88,374.52165,904.3414208,502.9565574,2457.867765,1331.517392
835.7888701,450.3442038,704.72,371.2763014,896.5050164,498.5982797,2437.013887,1320.218785
814.8156859,439.0433212,685.88,361.3505926,872.5378316,485.2687424,2373.233517,1285.662656
735.1532094,396.1191619,614.32,323.6497581,781.5032377,434.6391407,2130.976447,1154.408061
